filename,%VBur
Hf-π-29=CF3_30=CF3_31=CF3.xyz,65.7036
Hf-π-29=CF3_30=CF3_31=Cl.xyz,65.8207
Hf-π-29=CF3_30=CF3_31=Et.xyz,65.7089
Hf-π-29=CF3_30=CF3_31=F.xyz,65.3769
Hf-π-29=CF3_30=CF3_31=Me.xyz,65.4782
Hf-π-29=CF3_30=CF3_31=NCH3_2.xyz,64.8475
Hf-π-29=CF3_30=CF3_31=NO2.xyz,65.7584
Hf-π-29=CF3_30=CF3_31=OMe.xyz,65.4375
Hf-π-29=CF3_30=CF3_31=Ph.xyz,65.6017
Hf-π-29=CF3_30=Cl_31=CF3.xyz,62.9117
Hf-π-29=CF3_30=Cl_31=Cl.xyz,62.8104
Hf-π-29=CF3_30=Cl_31=Et.xyz,62.6200
Hf-π-29=CF3_30=Cl_31=F.xyz,62.2647
Hf-π-29=CF3_30=Cl_31=Me.xyz,62.9275
Hf-π-29=CF3_30=Cl_31=NCH3_2.xyz,63.2070
Hf-π-29=CF3_30=Cl_31=NO2.xyz,64.4020
Hf-π-29=CF3_30=Cl_31=OMe.xyz,62.8191
Hf-π-29=CF3_30=Cl_31=Ph.xyz,62.6864
Hf-π-29=CF3_30=Et_31=CF3.xyz,63.0107
Hf-π-29=CF3_30=Et_31=Cl.xyz,65.2191
Hf-π-29=CF3_30=Et_31=Et.xyz,60.5025
Hf-π-29=CF3_30=Et_31=F.xyz,64.1394
Hf-π-29=CF3_30=Et_31=Me.xyz,65.1981
Hf-π-29=CF3_30=Et_31=NCH3_2.xyz,62.6875
Hf-π-29=CF3_30=Et_31=NO2.xyz,65.1475
Hf-π-29=CF3_30=Et_31=OMe.xyz,64.5418
Hf-π-29=CF3_30=Et_31=Ph.xyz,62.7050
Hf-π-29=CF3_30=F_31=CF3.xyz,66.0472
Hf-π-29=CF3_30=F_31=Cl.xyz,65.4328
Hf-π-29=CF3_30=F_31=Et.xyz,65.6786
Hf-π-29=CF3_30=F_31=F.xyz,63.8179
Hf-π-29=CF3_30=F_31=Me.xyz,65.1201
Hf-π-29=CF3_30=F_31=NCH3_2.xyz,61.9124
Hf-π-29=CF3_30=F_31=NO2.xyz,65.2063
Hf-π-29=CF3_30=F_31=OMe.xyz,62.8191
Hf-π-29=CF3_30=F_31=Ph.xyz,65.9284
Hf-π-29=CF3_30=Me_31=CF3.xyz,66.1526
Hf-π-29=CF3_30=Me_31=Cl.xyz,65.4311
Hf-π-29=CF3_30=Me_31=Et.xyz,65.8818
Hf-π-29=CF3_30=Me_31=F.xyz,64.7730
Hf-π-29=CF3_30=Me_31=Me.xyz,65.2936
Hf-π-29=CF3_30=Me_31=NCH3_2.xyz,62.7178
Hf-π-29=CF3_30=Me_31=NO2.xyz,65.2785
Hf-π-29=CF3_30=Me_31=OMe.xyz,64.9570
Hf-π-29=CF3_30=Me_31=Ph.xyz,65.6192
Hf-π-29=CF3_30=NCH3_2_31=CF3.xyz,62.9706
Hf-π-29=CF3_30=NCH3_2_31=Cl.xyz,62.0498
Hf-π-29=CF3_30=NCH3_2_31=Et.xyz,62.1040
Hf-π-29=CF3_30=NCH3_2_31=F.xyz,61.3527
Hf-π-29=CF3_30=NCH3_2_31=Me.xyz,61.8437
Hf-π-29=CF3_30=NCH3_2_31=NCH3_2.xyz,63.4894
Hf-π-29=CF3_30=NCH3_2_31=NO2.xyz,62.3579
Hf-π-29=CF3_30=NCH3_2_31=OMe.xyz,62.8419
Hf-π-29=CF3_30=NCH3_2_31=Ph.xyz,61.8122
Hf-π-29=CF3_30=NO2_31=CF3.xyz,65.2698
Hf-π-29=CF3_30=NO2_31=Cl.xyz,64.4078
Hf-π-29=CF3_30=NO2_31=Et.xyz,64.7008
Hf-π-29=CF3_30=NO2_31=F.xyz,63.8732
Hf-π-29=CF3_30=NO2_31=Me.xyz,64.7357
Hf-π-29=CF3_30=NO2_31=NCH3_2.xyz,64.8807
Hf-π-29=CF3_30=NO2_31=NO2.xyz,64.7194
Hf-π-29=CF3_30=NO2_31=OMe.xyz,61.9147
Hf-π-29=CF3_30=NO2_31=Ph.xyz,64.1557
Hf-π-29=CF3_30=OMe_31=CF3.xyz,66.7030
Hf-π-29=CF3_30=OMe_31=Cl.xyz,65.4794
Hf-π-29=CF3_30=OMe_31=Et.xyz,65.8556
Hf-π-29=CF3_30=OMe_31=F.xyz,64.9605
Hf-π-29=CF3_30=OMe_31=Me.xyz,65.2360
Hf-π-29=CF3_30=OMe_31=NCH3_2.xyz,62.1756
Hf-π-29=CF3_30=OMe_31=NO2.xyz,65.2965
Hf-π-29=CF3_30=OMe_31=OMe.xyz,65.3501
Hf-π-29=CF3_30=OMe_31=Ph.xyz,65.5365
Hf-π-29=CF3_30=Ph_31=CF3.xyz,66.3553
Hf-π-29=CF3_30=Ph_31=Cl.xyz,64.9879
Hf-π-29=CF3_30=Ph_31=Et.xyz,63.8505
Hf-π-29=CF3_30=Ph_31=F.xyz,64.4754
Hf-π-29=CF3_30=Ph_31=Me.xyz,64.8103
Hf-π-29=CF3_30=Ph_31=NCH3_2.xyz,63.4609
Hf-π-29=CF3_30=Ph_31=NO2.xyz,65.3926
Hf-π-29=CF3_30=Ph_31=OMe.xyz,62.7947
Hf-π-29=CF3_30=Ph_31=Ph.xyz,65.3327
Hf-π-29=Cl_30=CF3_31=CF3.xyz,63.0981
