filename,%VBur
Hf-TS-11=CF3_29=CF3_24=CF3.xyz,63.8872
Hf-TS-11=CF3_29=CF3_24=Cl.xyz,63.6141
Hf-TS-11=CF3_29=CF3_24=Et.xyz,63.9187
Hf-TS-11=CF3_29=CF3_24=F.xyz,62.4843
Hf-TS-11=CF3_29=CF3_24=Me.xyz,63.4557
Hf-TS-11=CF3_29=CF3_24=NCH3_2.xyz,62.6875
Hf-TS-11=CF3_29=CF3_24=NO2.xyz,63.6152
Hf-TS-11=CF3_29=CF3_24=OMe.xyz,66.0385
Hf-TS-11=CF3_29=CF3_24=Ph.xyz,68.8764
Hf-TS-11=CF3_29=Cl_24=CF3.xyz,65.6436
Hf-TS-11=CF3_29=Cl_24=Cl.xyz,66.1707
Hf-TS-11=CF3_29=Cl_24=Et.xyz,63.4929
Hf-TS-11=CF3_29=Cl_24=F.xyz,62.8343
Hf-TS-11=CF3_29=Cl_24=Me.xyz,66.0740
Hf-TS-11=CF3_29=Cl_24=NCH3_2.xyz,62.6910
Hf-TS-11=CF3_29=Cl_24=NO2.xyz,63.4068
Hf-TS-11=CF3_29=Cl_24=OMe.xyz,64.1359
Hf-TS-11=CF3_29=Cl_24=Ph.xyz,63.4254
Hf-TS-11=CF3_29=Et_24=CF3.xyz,63.7882
Hf-TS-11=CF3_29=Et_24=Cl.xyz,65.9669
Hf-TS-11=CF3_29=Et_24=Et.xyz,63.8540
Hf-TS-11=CF3_29=Et_24=F.xyz,62.9682
Hf-TS-11=CF3_29=Et_24=Me.xyz,63.3567
Hf-TS-11=CF3_29=Et_24=NCH3_2.xyz,62.7359
Hf-TS-11=CF3_29=Et_24=NO2.xyz,63.3800
Hf-TS-11=CF3_29=Et_24=OMe.xyz,66.2243
Hf-TS-11=CF3_29=Et_24=Ph.xyz,63.8051
Hf-TS-11=CF3_29=F_24=CF3.xyz,66.1748
Hf-TS-11=CF3_29=F_24=Cl.xyz,66.0344
Hf-TS-11=CF3_29=F_24=Et.xyz,66.2924
Hf-TS-11=CF3_29=F_24=F.xyz,65.8696
Hf-TS-11=CF3_29=F_24=Me.xyz,65.7910
Hf-TS-11=CF3_29=F_24=NCH3_2.xyz,65.7001
Hf-TS-11=CF3_29=F_24=NO2.xyz,65.4194
Hf-TS-11=CF3_29=F_24=OMe.xyz,64.1359
Hf-TS-11=CF3_29=F_24=Ph.xyz,66.2685
Hf-TS-11=CF3_29=Me_24=CF3.xyz,63.6018
Hf-TS-11=CF3_29=Me_24=Cl.xyz,66.4275
Hf-TS-11=CF3_29=Me_24=Et.xyz,63.7637
Hf-TS-11=CF3_29=Me_24=F.xyz,62.9496
Hf-TS-11=CF3_29=Me_24=Me.xyz,65.9342
Hf-TS-11=CF3_29=Me_24=NCH3_2.xyz,66.7251
Hf-TS-11=CF3_29=Me_24=NO2.xyz,63.0666
Hf-TS-11=CF3_29=Me_24=OMe.xyz,66.4252
Hf-TS-11=CF3_29=Me_24=Ph.xyz,63.7579
Hf-TS-11=CF3_29=NCH3_2_24=CF3.xyz,66.4648
Hf-TS-11=CF3_29=NCH3_2_24=Cl.xyz,66.2289
Hf-TS-11=CF3_29=NCH3_2_24=Et.xyz,66.4799
Hf-TS-11=CF3_29=NCH3_2_24=F.xyz,66.2708
Hf-TS-11=CF3_29=NCH3_2_24=Me.xyz,66.0105
Hf-TS-11=CF3_29=NCH3_2_24=NCH3_2.xyz,66.5789
Hf-TS-11=CF3_29=NCH3_2_24=NO2.xyz,66.3192
Hf-TS-11=CF3_29=NCH3_2_24=OMe.xyz,68.8636
Hf-TS-11=CF3_29=NCH3_2_24=Ph.xyz,66.4619
Hf-TS-11=CF3_29=NO2_24=CF3.xyz,63.1540
Hf-TS-11=CF3_29=NO2_24=Cl.xyz,65.8777
Hf-TS-11=CF3_29=NO2_24=Et.xyz,63.1575
Hf-TS-11=CF3_29=NO2_24=F.xyz,61.7097
Hf-TS-11=CF3_29=NO2_24=Me.xyz,65.9925
Hf-TS-11=CF3_29=NO2_24=NCH3_2.xyz,61.8495
Hf-TS-11=CF3_29=NO2_24=NO2.xyz,62.8587
Hf-TS-11=CF3_29=NO2_24=OMe.xyz,66.2615
Hf-TS-11=CF3_29=NO2_24=Ph.xyz,65.9971
Hf-TS-11=CF3_29=OMe_24=CF3.xyz,66.6372
Hf-TS-11=CF3_29=OMe_24=Cl.xyz,65.9063
Hf-TS-11=CF3_29=OMe_24=Et.xyz,66.6249
Hf-TS-11=CF3_29=OMe_24=F.xyz,65.5842
Hf-TS-11=CF3_29=OMe_24=Me.xyz,65.9966
Hf-TS-11=CF3_29=OMe_24=NCH3_2.xyz,66.3495
Hf-TS-11=CF3_29=OMe_24=NO2.xyz,66.5906
Hf-TS-11=CF3_29=OMe_24=OMe.xyz,65.8440
Hf-TS-11=CF3_29=OMe_24=Ph.xyz,66.0321
Hf-TS-11=CF3_29=Ph_24=CF3.xyz,64.1324
Hf-TS-11=CF3_29=Ph_24=Cl.xyz,65.8562
Hf-TS-11=CF3_29=Ph_24=Et.xyz,64.1085
Hf-TS-11=CF3_29=Ph_24=F.xyz,65.9173
Hf-TS-11=CF3_29=Ph_24=Me.xyz,63.4871
Hf-TS-11=CF3_29=Ph_24=NCH3_2.xyz,62.8873
Hf-TS-11=CF3_29=Ph_24=NO2.xyz,65.2767
Hf-TS-11=CF3_29=Ph_24=OMe.xyz,68.0611
Hf-TS-11=CF3_29=Ph_24=Ph.xyz,64.3764
Hf-TS-11=Cl_29=CF3_24=CF3.xyz,64.8417
Hf-TS-11=Cl_29=CF3_24=Cl.xyz,62.2455
Hf-TS-11=Cl_29=CF3_24=Et.xyz,64.7014
Hf-TS-11=Cl_29=CF3_24=F.xyz,62.6182
Hf-TS-11=Cl_29=CF3_24=Me.xyz,62.7824
Hf-TS-11=Cl_29=CF3_24=NCH3_2.xyz,64.1359
Hf-TS-11=Cl_29=CF3_24=NO2.xyz,63.5395
Hf-TS-11=Cl_29=CF3_24=OMe.xyz,63.1901
Hf-TS-11=Cl_29=CF3_24=Ph.xyz,67.3081
Hf-TS-11=Cl_29=Cl_24=CF3.xyz,64.4935
Hf-TS-11=Cl_29=Cl_24=Cl.xyz,63.8092
Hf-TS-11=Cl_29=Cl_24=Et.xyz,64.4696
Hf-TS-11=Cl_29=Cl_24=F.xyz,61.7132
Hf-TS-11=Cl_29=Cl_24=Me.xyz,63.8144
Hf-TS-11=Cl_29=Cl_24=NCH3_2.xyz,61.3190
Hf-TS-11=Cl_29=Cl_24=NO2.xyz,62.1779
Hf-TS-11=Cl_29=Cl_24=OMe.xyz,61.6375
Hf-TS-11=Cl_29=Cl_24=Ph.xyz,64.4771
Hf-TS-11=Cl_29=Et_24=CF3.xyz,64.5296
Hf-TS-11=Cl_29=Et_24=Cl.xyz,62.4412
Hf-TS-11=Cl_29=Et_24=Et.xyz,64.7602
Hf-TS-11=Cl_29=Et_24=F.xyz,62.1989
Hf-TS-11=Cl_29=Et_24=Me.xyz,62.5478
Hf-TS-11=Cl_29=Et_24=NCH3_2.xyz,63.3386
Hf-TS-11=Cl_29=Et_24=NO2.xyz,62.4284
Hf-TS-11=Cl_29=Et_24=OMe.xyz,64.1848
Hf-TS-11=Cl_29=Et_24=Ph.xyz,64.6210
Hf-TS-11=Cl_29=F_24=CF3.xyz,63.5558
Hf-TS-11=Cl_29=F_24=Cl.xyz,63.4231
Hf-TS-11=Cl_29=F_24=Et.xyz,63.7195
