Filename,R1,R2,R3
Hf_TS_11=CF3_29=CF3_24=CF3.xyz,CF3,CF3,CF3
Hf_TS_11=CF3_29=CF3_24=Cl.xyz,CF3,CF3,Cl
Hf_TS_11=CF3_29=CF3_24=Et.xyz,CF3,CF3,Et
Hf_TS_11=CF3_29=CF3_24=F.xyz,CF3,CF3,F
Hf_TS_11=CF3_29=CF3_24=Me.xyz,CF3,CF3,Me
Hf_TS_11=CF3_29=CF3_24=NCH3_2.xyz,CF3,CF3,NCH3_2
Hf_TS_11=CF3_29=CF3_24=NO2.xyz,CF3,CF3,NO2
Hf_TS_11=CF3_29=CF3_24=OMe.xyz,CF3,CF3,OMe
Hf_TS_11=CF3_29=CF3_24=Ph.xyz,CF3,CF3,Ph
Hf_TS_11=CF3_29=Cl_24=CF3.xyz,CF3,Cl,CF3
Hf_TS_11=CF3_29=Cl_24=Cl.xyz,CF3,Cl,Cl
Hf_TS_11=CF3_29=Cl_24=Et.xyz,CF3,Cl,Et
Hf_TS_11=CF3_29=Cl_24=F.xyz,CF3,Cl,F
Hf_TS_11=CF3_29=Cl_24=Me.xyz,CF3,Cl,Me
Hf_TS_11=CF3_29=Cl_24=NCH3_2.xyz,CF3,Cl,NCH3_2
Hf_TS_11=CF3_29=Cl_24=NO2.xyz,CF3,Cl,NO2
Hf_TS_11=CF3_29=Cl_24=OMe.xyz,CF3,Cl,OMe
Hf_TS_11=CF3_29=Cl_24=Ph.xyz,CF3,Cl,Ph
Hf_TS_11=CF3_29=Et_24=CF3.xyz,CF3,Et,CF3
Hf_TS_11=CF3_29=Et_24=Cl.xyz,CF3,Et,Cl
Hf_TS_11=CF3_29=Et_24=Et.xyz,CF3,Et,Et
Hf_TS_11=CF3_29=Et_24=F.xyz,CF3,Et,F
Hf_TS_11=CF3_29=Et_24=Me.xyz,CF3,Et,Me
Hf_TS_11=CF3_29=Et_24=NCH3_2.xyz,CF3,Et,NCH3_2
Hf_TS_11=CF3_29=Et_24=NO2.xyz,CF3,Et,NO2
Hf_TS_11=CF3_29=Et_24=OMe.xyz,CF3,Et,OMe
Hf_TS_11=CF3_29=Et_24=Ph.xyz,CF3,Et,Ph
Hf_TS_11=CF3_29=F_24=CF3.xyz,CF3,F,CF3
Hf_TS_11=CF3_29=F_24=Cl.xyz,CF3,F,Cl
Hf_TS_11=CF3_29=F_24=Et.xyz,CF3,F,Et
Hf_TS_11=CF3_29=F_24=F.xyz,CF3,F,F
Hf_TS_11=CF3_29=F_24=Me.xyz,CF3,F,Me
Hf_TS_11=CF3_29=F_24=NCH3_2.xyz,CF3,F,NCH3_2
Hf_TS_11=CF3_29=F_24=NO2.xyz,CF3,F,NO2
Hf_TS_11=CF3_29=F_24=OMe.xyz,CF3,F,OMe
Hf_TS_11=CF3_29=F_24=Ph.xyz,CF3,F,Ph
Hf_TS_11=CF3_29=Me_24=CF3.xyz,CF3,Me,CF3
Hf_TS_11=CF3_29=Me_24=Cl.xyz,CF3,Me,Cl
Hf_TS_11=CF3_29=Me_24=Et.xyz,CF3,Me,Et
Hf_TS_11=CF3_29=Me_24=F.xyz,CF3,Me,F
Hf_TS_11=CF3_29=Me_24=Me.xyz,CF3,Me,Me
Hf_TS_11=CF3_29=Me_24=NCH3_2.xyz,CF3,Me,NCH3_2
Hf_TS_11=CF3_29=Me_24=NO2.xyz,CF3,Me,NO2
Hf_TS_11=CF3_29=Me_24=OMe.xyz,CF3,Me,OMe
Hf_TS_11=CF3_29=Me_24=Ph.xyz,CF3,Me,Ph
Hf_TS_11=CF3_29=NCH3_2_24=CF3.xyz,CF3,NCH3_2,CF3
Hf_TS_11=CF3_29=NCH3_2_24=Cl.xyz,CF3,NCH3_2,Cl
Hf_TS_11=CF3_29=NCH3_2_24=Et.xyz,CF3,NCH3_2,Et
Hf_TS_11=CF3_29=NCH3_2_24=F.xyz,CF3,NCH3_2,F
Hf_TS_11=CF3_29=NCH3_2_24=Me.xyz,CF3,NCH3_2,Me
Hf_TS_11=CF3_29=NCH3_2_24=NCH3_2.xyz,CF3,NCH3_2,NCH3_2
Hf_TS_11=CF3_29=NCH3_2_24=NO2.xyz,CF3,NCH3_2,NO2
Hf_TS_11=CF3_29=NCH3_2_24=OMe.xyz,CF3,NCH3_2,OMe
Hf_TS_11=CF3_29=NCH3_2_24=Ph.xyz,CF3,NCH3_2,Ph
Hf_TS_11=CF3_29=NO2_24=CF3.xyz,CF3,NO2,CF3
Hf_TS_11=CF3_29=NO2_24=Cl.xyz,CF3,NO2,Cl
Hf_TS_11=CF3_29=NO2_24=Et.xyz,CF3,NO2,Et
Hf_TS_11=CF3_29=NO2_24=F.xyz,CF3,NO2,F
Hf_TS_11=CF3_29=NO2_24=Me.xyz,CF3,NO2,Me
Hf_TS_11=CF3_29=NO2_24=NCH3_2.xyz,CF3,NO2,NCH3_2
Hf_TS_11=CF3_29=NO2_24=NO2.xyz,CF3,NO2,NO2
Hf_TS_11=CF3_29=NO2_24=OMe.xyz,CF3,NO2,OMe
Hf_TS_11=CF3_29=NO2_24=Ph.xyz,CF3,NO2,Ph
Hf_TS_11=CF3_29=OMe_24=CF3.xyz,CF3,OMe,CF3
Hf_TS_11=CF3_29=OMe_24=Cl.xyz,CF3,OMe,Cl
Hf_TS_11=CF3_29=OMe_24=Et.xyz,CF3,OMe,Et
Hf_TS_11=CF3_29=OMe_24=F.xyz,CF3,OMe,F
Hf_TS_11=CF3_29=OMe_24=Me.xyz,CF3,OMe,Me
Hf_TS_11=CF3_29=OMe_24=NCH3_2.xyz,CF3,OMe,NCH3_2
Hf_TS_11=CF3_29=OMe_24=NO2.xyz,CF3,OMe,NO2
Hf_TS_11=CF3_29=OMe_24=OMe.xyz,CF3,OMe,OMe
Hf_TS_11=CF3_29=OMe_24=Ph.xyz,CF3,OMe,Ph
Hf_TS_11=CF3_29=Ph_24=CF3.xyz,CF3,Ph,CF3
